State and County,1989,1979,1969,1959
"Lauderdale County, TN","8,607","7,631","4,834","2,908"
"Lawrence County, TN","10,094","8,916","5,873","3,787"
"Lewis County, TN","8,180","7,289","6,313","3,536"
"Lincoln County, TN","10,704","8,920","6,587","4,136"
"Loudon County, TN","12,006","9,957","7,088","4,693"
"McMinn County, TN","10,508","9,704","6,908","4,564"
"McNairy County, TN","9,185","8,325","5,586","2,974"
"Macon County, TN","10,158","9,342","5,523","3,104"
"Madison County, TN","11,655","10,071","7,346","4,803"
"Marion County, TN","9,274","8,910","5,838","3,904"
"Marshall County, TN","11,248","10,208","7,446","4,481"
"Maury County, TN","11,942","10,366","7,213","4,878"
"Meigs County, TN","9,237","9,235","5,744","2,527"
"Monroe County, TN","9,080","8,328","5,690","3,320"
"Montgomery County, TN","11,056","9,597","7,361","5,082"
"Moore County, TN","11,545","9,268","6,219","3,700"
"Morgan County, TN","7,722","7,964","4,951","2,833"
"Obion County, TN","11,096","10,248","7,380","4,568"
"Overton County, TN","8,622","7,646","4,535","2,766"
"Perry County, TN","9,260","8,365","5,803","3,116"
"Pickett County, TN","9,564","6,490","4,645","2,515"
"Polk County, TN","9,311","7,810","6,486","4,144"
"Putnam County, TN","11,004","9,313","6,744","3,920"
"Rhea County, TN","9,333","8,571","5,844","3,610"
"Roane County, TN","12,015","10,533","7,217","4,862"
"Robertson County, TN","12,077","9,796","6,694","4,324"
"Rutherford County, TN","12,536","10,634","7,431","4,936"
"Scott County, TN","7,803","7,830","4,661","2,668"
"Sequatchie County, TN","9,377","7,646","5,640","3,516"
"Sevier County, TN","10,848","9,452","6,785","3,685"
"Shelby County, TN","13,330","11,222","8,680","6,235"
"Smith County, TN","10,950","9,739","6,694","3,559"
"Stewart County, TN","9,935","7,996","5,438","3,430"
"Sullivan County, TN","12,725","10,887","8,501","6,129"
"Sumner County, TN","13,497","11,450","8,265","4,772"
"Tipton County, TN","9,796","8,859","5,303","3,206"
"Trousdale County, TN","9,618","10,433","5,929","3,320"
"Unicoi County, TN","10,727","8,776","6,543","4,297"
"Union County, TN","8,351","7,371","4,872","3,073"
"Van Buren County, TN","8,186","8,216","5,618","2,288"
"Warren County, TN","10,472","8,829","6,744","3,979"
"Washington County, TN","11,949","10,719","7,704","5,274"
"Wayne County, TN","8,240","7,758","5,363","3,171"
"Weakley County, TN","9,857","8,719","6,763","4,108"
"White County, TN","9,299","8,528","6,049","3,316"
"Williamson County, TN","19,339","14,225","8,526","4,725"
"Wilson County, TN","13,681","11,369","7,758","4,572"
,,,,
Texas,"$12,904.00","$12,070.00","$8,787.00","$6,381.00"
"Anderson County, TX","9,384","9,868","6,744","4,599"
"Andrews County, TX","10,361","11,735","8,749","7,354"
"Angelina County, TX","11,248","10,438","7,424","5,572"
"Aransas County, TX","11,394","11,428","8,136","5,733"
"Archer County, TX","11,719","11,864","8,812","6,071"
"Armstrong County, TX","11,212","12,169","9,193","7,157"
"Atascosa County, TX","8,447","8,293","5,662","3,967"
"Austin County, TX","11,837","11,730","6,096","4,148"
"Bailey County, TX","10,043","9,521","8,016","6,306"
"Bandera County, TX","12,798","10,820","7,830","4,956"
"Bastrop County, TX","10,300","9,826","6,316","4,022"
"Baylor County, TX","11,040","10,485","7,950","5,537"
"Bee County, TX","8,619","9,035","6,342","5,019"
"Bell County, TX","10,908","9,736","7,660","5,584"
"Bexar County, TX","11,827","10,280","8,098","6,000"
"Blanco County, TX","12,388","10,682","7,459","6,008"
"Borden County, TX","17,533","11,743","8,538","7,103"
"Bosque County, TX","10,992","10,044","7,550","4,721"
"Bowie County, TX","11,846","10,466","8,202","5,219"
"Brazoria County, TX","13,468","13,432","9,136","6,408"
"Brazos County, TX","10,987","9,892","8,145","5,180"
"Brewster County, TX","10,730","8,105","6,279","5,035"
"Briscoe County, TX","10,058","9,226","8,280","5,600"
"Brooks County, TX","6,623","7,566","4,777","3,971"
"Brown County, TX","9,797","10,007","7,560","5,615"
"Burleson County, TX","9,354","9,509","5,835","3,689"
"Burnet County, TX","11,530","10,059","7,723","4,925"
"Caldwell County, TX","9,242","8,236","5,146","4,336"
"Calhoun County, TX","10,374","11,559","7,245","5,572"
"Callahan County, TX","10,353","10,230","7,125","5,172"
"Cameron County, TX","7,125","7,266","4,963","3,952"
"Camp County, TX","9,936","10,450","5,910","4,383"
"Carson County, TX","11,710","12,132","9,539","6,553"
"Cass County, TX","9,391","9,764","6,858","4,289"
"Castro County, TX","7,510","8,127","6,851","5,564"
"Chambers County, TX","12,218","12,271","8,132","6,298"
"Cherokee County, TX","9,195","9,654","6,697","4,238"
"Childress County, TX","9,888","9,711","8,098","5,729"
"Clay County, TX","10,978","11,497","7,928","6,526"
"Cochran County, TX","8,533","9,424","5,961","6,616"
"Coke County, TX","10,220","11,453","7,799","5,843"
"Coleman County, TX","9,353","9,218","6,779","4,764"
"Collin County, TX","20,503","14,126","9,303","5,474"
"Collingsworth County, TX","9,425","9,369","6,776","4,842"
"Colorado County, TX","10,379","11,073","6,886","5,105"
"Comal County, TX","13,400","12,005","7,937","5,498"
"Comanche County, TX","9,679","9,928","7,440","4,407"
"Concho County, TX","8,126","9,915","7,456","5,054"
"Cooke County, TX","11,594","11,125","8,057","5,761"
"Coryell County, TX","8,924","8,368","6,710","5,156"
"Cottle County, TX","10,289","12,170","7,380","4,968"
"Crane County, TX","10,751","10,388","8,655","7,554"
"Crockett County, TX","10,232","11,339","8,217","8,233"
"Crosby County, TX","8,598","8,732","7,210","5,741"
"Culberson County, TX","7,632","7,189","6,524","4,819"
"Dallam County, TX","9,250","8,784","7,566","6,844"
"Dallas County, TX","16,243","14,523","11,519","8,731"
"Dawson County, TX","9,535","10,026","7,859","6,781"
"Deaf Smith County, TX","9,296","9,536","7,563","6,023"
"Delta County, TX","9,859","8,769","6,370","3,787"
"Denton County, TX","16,105","13,600","8,951","5,961"
"DeWitt County, TX","9,564","9,355","6,420","4,061"
"Dickens County, TX","8,465","7,973","6,896","4,870"
"Dimmit County, TX","5,386","6,572","3,950","3,151"
"Donley County, TX","9,388","10,522","7,786","5,407"
"Duval County, TX","7,126","7,222","4,589","3,567"
"Eastland County, TX","8,729","9,397","7,229","4,984"
"Ector County, TX","10,897","12,993","9,124","7,212"
"Edwards County, TX","7,537","8,276","9,313","6,722"
"El Paso County, TX","12,199","10,837","7,890","4,878"
"Ellis County, TX","9,150","8,891","7,368","6,094"
"Erath County, TX","10,832","11,512","7,371","5,133"
"Falls County, TX","8,600","8,509","5,737","3,571"
"Fannin County, TX","10,298","9,823","6,968","4,415"
"Fayette County, TX","10,769","10,238","6,124","3,791"
"Fisher County, TX","9,760","11,815","7,065","5,309"
"Floyd County, TX","9,564","8,987","7,188","6,428"
"Foard County, TX","9,228","10,339","7,465","5,529"
"Fort Bend County, TX","16,056","15,024","7,009","4,630"
"Franklin County, TX","12,370","11,220","7,006","4,493"
"Freestone County, TX","10,735","10,185","6,949","3,975"
"Frio County, TX","6,629","6,884","5,130","3,371"
"Gaines County, TX","9,204","9,995","7,896","6,353"
"Galveston County, TX","13,993","13,224","9,514","6,698"
"Garza County, TX","9,112","10,758","6,704","5,827"
"Gillespie County, TX","12,046","10,145","7,601","4,999"
"Glasscock County, TX","16,219","10,969","7,887","8,853"
"Goliad County, TX","10,875","9,290","6,285","3,897"
"Gonzales County, TX","9,252","8,692","5,715","3,901"
"Gray County, TX","12,771","13,146","9,596","8,048"
"Grayson County, TX","12,201","11,619","8,334","5,878"
"Gregg County, TX","12,457","11,993","8,548","6,608"
"Grimes County, TX","8,920","9,761","5,608","3,587"
"Guadalupe County, TX","11,330","10,046","6,927","4,701"
"Hale County, TX","9,932","9,471","7,701","6,180"
"Hall County, TX","9,376","9,282","7,978","5,584"
"Hamilton County, TX","11,193","9,811","7,144","4,163"
"Hansford County, TX","12,136","13,633","9,608","8,111"
"Hardeman County, TX","10,502","11,103","7,824","5,764"
"Hardin County, TX","11,178","11,443","7,443","5,089"
"Harris County, TX","15,202","15,185","10,672","7,970"
"Harrison County, TX","10,173","10,138","7,314","4,650"
"Hartley County, TX","14,254","13,694","9,675","12,388"
"Haskell County, TX","10,099","10,770","6,880","5,089"
"Hays County, TX","11,422","9,112","6,562","4,638"
"Hemphill County, TX","14,244","13,084","7,519","6,875"
"Henderson County, TX","10,692","10,676","6,807","4,289"
"Hidalgo County, TX","6,630","6,770","4,664","3,481"
"Hill County, TX","10,703","9,774","6,896","4,152"
"Hockley County, TX","10,648","9,761","6,858","5,549"
"Hood County, TX","14,961","13,593","8,003","4,882"
"Hopkins County, TX","11,049","10,406","7,846","4,846"
"Houston County, TX","9,965","8,010","5,149","3,477"
"Howard County, TX","10,644","11,522","8,243","6,875"
"Hudspeth County, TX","7,994","7,507","5,199","5,215"
"Hunt County, TX","11,845","10,277","8,016","5,509"
"Hutchinson County, TX","11,677","12,961","9,306","7,613"
"Irion County, TX","11,659","11,755","7,015","6,643"
"Jack County, TX","11,010","11,135","6,971","6,188"
"Jackson County, TX","10,225","10,433","6,946","5,227"
"Jasper County, TX","9,659","9,908","6,792","4,340"
"Jeff Davis County, TX","9,975","9,509","5,958","4,980"
"Jefferson County, TX","12,348","12,742","9,086","7,252"
"Jim Hogg County, TX","6,852","7,996","4,299","3,033"
"Jim Wells County, TX","8,080","9,385","6,137","4,462"
"Johnson County, TX","12,054","11,695","8,557","5,972"
"Jones County, TX","9,910","10,496","7,509","5,796"
"Karnes County, TX","8,229","8,953","5,504","3,744"
"Kaufman County, TX","11,567","10,909","7,132","4,552"
"Kendall County, TX","13,426","11,953","8,765","5,627"
"Kenedy County, TX","9,212","16,887","5,586","5,925"
"Kent County, TX","10,087","10,314","6,534","5,651"
"Kerr County, TX","12,899","12,293","8,372","5,780"
"Kimble County, TX","11,372","9,275","6,974","5,517"
"King County, TX","12,027","9,235","9,108","3,759"
"Kinney County, TX","7,931","6,947","4,765","6,149"
"Kleberg County, TX","9,580","9,345","6,763","5,097"
"Knox County, TX","9,241","11,448","5,967","5,027"
"Lamar County, TX","10,511","9,345","7,229","4,685"
"Lamb County, TX","9,362","9,665","6,851","5,549"
"Lampasas County, TX","10,586","9,603","7,213","5,097"
"La Salle County, TX","8,130","7,107","4,545","3,693"
"Lavaca County, TX","10,294","9,452","5,470","3,626"
"Lee County, TX","10,252","9,766","6,490","3,422"
"Leon County, TX","10,385","9,593","5,873","3,182"
"Liberty County, TX","9,928","11,188","7,163","4,878"
"Limestone County, TX","9,745","8,685","5,939","3,759"
"Lipscomb County, TX","11,997","11,758","9,055","7,687"
"Live Oak County, TX","10,055","11,162","6,414","4,148"
"Llano County, TX","12,448","12,651","7,550","5,604"
"Loving County, TX","12,482","36,317","6,386","6,742"
"Lubbock County, TX","12,008","11,606","8,560","7,224"
"Lynn County, TX","9,909","8,274","7,663","5,902"
"Madison County, TX","8,847","9,072","7,110","5,498"
"Marion County, TX","11,185","10,450","8,060","6,176"
"Martin County, TX","13,485","13,600","6,650","9,214"
"Mason County, TX","8,767","8,395","5,945","3,689"
"Matagorda County, TX","9,197","8,239","5,586","3,481"
"Maverick County, TX","9,867","11,612","6,902","7,648"
"McCulloch County, TX","8,575","9,835","6,427","5,348"
"McLennan County, TX","11,374","11,968","7,113","5,380"
"McMullen County, TX","5,184","5,195","4,038","3,143"
"Medina County, TX","9,820","8,610","6,131","3,959"
"Menard County, TX","9,318","8,152","6,247","5,541"
"Midland County, TX","15,417","16,857","10,943","9,351"
"Milam County, TX","10,341","9,221","6,713","4,399"
"Mills County, TX","10,374","8,769","6,855","4,905"
"Mitchell County, TX","9,581","10,155","7,418","5,215"
"Montague County, TX","10,420","10,064","7,566","5,097"
"Montgomery County, TX","14,283","13,674","8,381","4,752"
"Moore County, TX","11,195","11,762","9,045","7,126"
"Morris County, TX","10,344","10,667","7,478","5,313"
"Motley County, TX","9,004","9,937","7,138","4,976"
"Nacogdoches County, TX","9,829","9,809","7,125","4,422"
"Navarro County, TX","10,468","10,111","7,462","4,846"
"Newton County, TX","7,760","8,568","5,741","3,277"
"Nolan County, TX","9,738","10,568","7,163","6,282"
"Nueces County, TX","11,396","11,075","7,953","5,827"
"Ochiltree County, TX","13,325","14,166","10,285","8,558"
"Oldham County, TX","10,577","8,517","7,409","6,993"
"Orange County, TX","11,493","11,998","8,623","6,239"
"Palo Pinto County, TX","9,979","11,143","9,007","5,411"
"Panola County, TX","10,695","10,431","6,449","4,367"
"Parker County, TX","12,966","11,802","8,711","5,513"
"Parmer County, TX","9,087","8,801","8,032","6,647"
"Pecos County, TX","9,133","9,565","7,368","6,443"
"Polk County, TX","9,974","9,261","6,247","3,948"
"Potter County, TX","10,230","11,212","8,664","7,546"
"Presidio County, TX","6,347","6,285","5,054","4,854"
"Rains County, TX","10,711","10,860","6,342","3,316"
"Randall County, TX","15,369","15,155","10,575","8,700"
"Reagan County, TX","10,243","10,835","7,708","6,910"
"Real County, TX","8,184","7,768","5,404","3,602"
"Red River County, TX","8,482","8,434","5,722","4,006"
"Reeves County, TX","7,765","8,224","6,521","5,380"
"Refugio County, TX","10,496","10,366","7,191","5,588"
"Roberts County, TX","15,679","13,596","8,006","6,761"
"Robertson County, TX","9,705","9,149","5,152","3,716"
"Rockwall County, TX","17,982","15,639","9,177","5,376"
"Runnels County, TX","9,602","9,833","7,094","5,156"
"Rusk County, TX","10,127","10,374","7,028","5,219"
"Sabine County, TX","10,539","8,598","5,508","3,626"
"San Augustine County, TX","8,151","8,620","5,171","3,084"
"San Jacinto County, TX","9,657","9,086","5,215","2,892"
"San Patricio County, TX","9,425","10,101","6,417","4,407"
"San Saba County, TX","10,785","8,878","6,445","4,768"
"Schleicher County, TX","10,615","11,076","7,969","6,110"
"Scurry County, TX","10,333","11,835","8,192","6,796"
"Shackelford County, TX","11,487","11,745","9,143","7,267"
"Shelby County, TX","9,510","9,344","6,153","3,677"
"Sherman County, TX","10,396","17,601","9,873","7,762"
"Smith County, TX","12,742","11,922","8,652","6,322"
"Somervell County, TX","11,892","11,668","7,443","4,948"
"Starr County, TX","4,152","4,471","3,534","2,095"
"Stephens County, TX","10,343","10,681","7,566","7,059"
"Sterling County, TX","12,698","11,961","8,394","11,187"
"Stonewall County, TX","10,240","10,007","9,385","6,435"
"Sutton County, TX","10,926","13,647","6,741","7,342"
"Swisher County, TX","9,692","8,973","7,830","7,036"
"Tarrant County, TX","15,178","13,347","10,417","7,467"
"Taylor County, TX","11,791","11,405","7,975","6,847"
"Terrell County, TX","10,146","11,845","6,826","7,055"
"Terry County, TX","10,859","9,717","7,868","7,142"
"Throckmorton County, TX","10,505","10,719","8,485","6,051"
"Titus County, TX","11,163","10,788","7,544","5,333"
"Tom Green County, TX","11,482","11,391","8,340","6,483"
"Travis County, TX","15,123","12,635","9,464","6,506"
"Trinity County, TX","9,605","9,054","5,700","3,857"
"Tyler County, TX","9,733","9,776","6,779","3,771"
"Upshur County, TX","10,254","10,118","6,471","4,858"
"Upton County, TX","9,500","9,932","8,003","6,369"
"Uvalde County, TX","8,625","7,871","5,989","4,811"
"Val Verde County, TX","7,904","7,611","6,187","5,502"
"Van Zandt County, TX","10,130","10,101","7,531","4,599"
"Victoria County, TX","12,196","11,938","7,339","5,619"
"Walker County, TX","10,090","9,458","5,995","3,991"
"Waller County, TX","10,294","10,061","6,153","4,238"
"Ward County, TX","9,971","10,217","8,249","6,773"
"Washington County, TX","11,036","11,301","6,578","4,073"
"Webb County, TX","6,771","6,669","4,869","3,677"
"Wharton County, TX","10,911","10,532","6,644","4,842"
"Wheeler County, TX","10,370","12,541","8,315","5,855"
"Wichita County, TX","11,635","11,829","8,740","7,091"
"Wilbarger County, TX","9,823","10,810","7,497","5,886"
"Willacy County, TX","6,074","6,926","4,419","3,700"
"Williamson County, TX","13,490","11,793","6,619","4,344"
"Wilson County, TX","9,728","8,770","5,825","3,716"
"Winkler County, TX","9,843","10,264","8,261","7,177"
"Wise County, TX","11,307","11,178","8,076","5,431"
"Wood County, TX","10,937","10,356","7,311","5,286"
"Yoakum County, TX","10,592","10,629","8,205","7,334"
"Young County, TX","11,368","13,585","7,956","6,169"
"Zapata County, TX","6,541","7,365","4,016","2,570"
"Zavala County, TX","4,818","5,366","4,239","2,747"
,,,,
Utah,"$11,029.00","$10,565.00","$8,488.00","$6,651.00"
"Beaver County, UT","8,558","8,224","7,327","6,110"
"Box Elder County, UT","11,045","9,716","8,051","6,604"
"Cache County, UT","9,544","9,050","7,179","5,623"
"Carbon County, UT","10,225","11,534","7,708","6,086"
"Daggett County, UT","9,575","9,488","7,918","7,138"
"Davis County, UT","11,611","10,515","8,463","6,518"
"Duchesne County, UT","8,197","9,268","6,423","5,176"
"Emery County, UT","9,257","9,880","6,452","4,332"
"Garfield County, UT","8,248","8,326","7,516","4,791"
"Grand County, UT","9,899","10,884","8,054","7,785"
"Iron County, UT","8,539","8,643","7,160","5,761"
"Juab County, UT","8,332","8,752","6,587","4,517"
"Kane County, UT","8,721","7,587","7,512","5,239"
"Millard County, UT","8,574","8,058","6,376","4,422"
"Morgan County, UT","10,448","10,451","8,060","5,584"
"Piute County, UT","8,160","8,199","6,184","4,367"
"Rich County, UT","8,610","9,754","8,051","4,344"
"Salt Lake County, UT","12,222","11,752","9,325","7,444"
"San Juan County, UT","5,907","6,202","5,366","4,811"
"Sanpete County, UT","7,585","7,592","6,587","4,583"
"Sevier County, UT","8,615","9,184","7,235","5,105"
"Summit County, UT","16,739","14,166","7,418","5,604"
"Tooele County, UT","10,568","10,822","8,869","6,341"
"Uintah County, UT","8,379","9,665","7,031","5,443"
"Utah County, UT","9,051","8,712","6,981","5,670"
"Wasatch County, UT","10,722","9,159","7,405","5,670"
"Washington County, UT","9,450","8,159","6,615","4,897"
"Wayne County, UT","7,692","7,834","5,530","4,654"
"Weber County, UT","11,637","11,034","9,335","7,052"
,,,,
Vermont,"$13,527.00","$10,352.00","$8,686.00","$5,949.00"
"Addison County, VT","12,717","9,340","8,161","4,976"
"Bennington County, VT","13,543","10,838","8,951","6,867"
"Caledonia County, VT","11,425","9,137","7,682","5,505"
"Chittenden County, VT","16,096","11,604","9,671","6,243"
"Essex County, VT","9,854","8,259","7,169","5,529"
"Franklin County, VT","11,678","9,318","8,362","5,007"
"Grand Isle County, VT","13,940","9,880","8,479","4,944"
"Lamoille County, VT","12,519","9,360","8,875","5,121"
"Orange County, VT","11,898","8,789","7,685","4,984"
"Orleans County, VT","10,458","8,725","7,264","5,097"
"Rutland County, VT","12,780","10,203","8,120","5,929"
"Washington County, VT","13,547","10,185","8,466","6,275"
"Windham County, VT","13,134","10,595","8,932","6,467"
"Windsor County, VT","14,262","11,328","9,250","6,655"
,,,,
Virginia,"$15,713.00","$12,526.00","$9,429.00","$6,271.00"
"Accomack County, VA","10,506","8,804","6,118","3,830"
"Albemarle County, VA","17,448","13,157","9,533","6,361"
"Alleghany County, VA","11,606","10,196","7,220","5,352"
"Amelia County, VA","11,605","8,998","5,797","3,120"
"Amherst County, VA","11,185","9,638","6,738","4,391"
"Appomattox County, VA","10,795","10,401","7,075","4,136"
"Arlington County, VA","25,633","21,050","17,140","11,992"
"Augusta County, VA","12,751","10,656","7,846","5,015"
"Bath County, VA","11,369","10,408","6,458","4,214"
"Bedford County, VA","14,305","10,341","6,442","4,646"
"Bland County, VA","9,765","8,186","5,813","3,375"
"Botetourt County, VA","13,810","11,331","7,679","4,572"
"Brunswick County, VA","8,872","7,598","5,668","3,120"
"Buchanan County, VA","9,621","9,122","5,401","3,308"
"Buckingham County, VA","9,165","7,716","5,372","2,868"
"Campbell County, VA","12,061","10,612","6,263","5,097"
"Caroline County, VA","11,837","9,101","6,137","4,187"
"Carroll County, VA","9,693","8,375","6,209","3,508"
"Charles City County, VA","11,384","9,582","5,102","3,328"
"Charlotte County, VA","9,008","7,608","5,895","3,653"
"Chesterfield County, VA","17,423","14,108","10,216","7,758"
"Clarke County, VA","15,657","12,522","9,693","4,854"
"Craig County, VA","11,186","9,184","6,345","3,642"
"Culpeper County, VA","14,122","10,443","7,251","4,721"
"Cumberland County, VA","10,295","7,758","5,278","2,594"
"Dickenson County, VA","8,067","8,631","4,696","3,312"
"Dinwiddie County, VA","12,212","9,035","5,542","3,339"
"Essex County, VA","11,529","9,920","6,452","4,258"
"Fairfax County, VA","24,833","19,267","14,175","9,378"
"Fauquier County, VA","19,195","12,284","8,674","5,360"
"Floyd County, VA","10,532","8,690","6,990","3,747"
"Fluvanna County, VA","12,977","9,126","6,266","3,606"
"Franklin County, VA","11,936","9,508","6,943","4,301"
"Frederick County, VA","13,671","10,897","7,355","4,799"
"Giles County, VA","11,462","9,451","7,169","4,572"
"Gloucester County, VA","13,122","11,002","7,959","4,980"
"Goochland County, VA","18,312","12,170","7,138","3,716"
"Grayson County, VA","8,966","8,824","6,024","3,449"
"Greene County, VA","12,268","9,752","5,955","3,076"
"Greensville County, VA","9,504","7,758","4,866","3,445"
"Halifax County, VA","9,568","8,065","5,722","3,222"
"Hanover County, VA","16,463","12,795","9,224","5,753"
"Henrico County, VA","18,019","14,347","11,651","8,786"
"Henry County, VA","11,491","10,109","7,767","5,258"
"Highland County, VA","10,828","10,133","5,945","2,853"
"Isle of Wight County, VA","12,274","10,376","6,464","4,203"
"James City County, VA","18,139","12,358","7,623","5,235"
"King and Queen County, VA","11,278","9,627","6,250","3,787"
"King George County, VA","15,365","11,261","9,328","6,125"
"King William County, VA","13,294","11,061","7,349","6,365"
"Lancaster County, VA","17,698","11,319","7,217","5,097"
"Lee County, VA","7,837","7,608","4,658","2,511"
"Loudoun County, VA","20,757","15,063","9,580","5,961"
"Louisa County, VA","12,390","9,196","6,062","3,704"
"Lunenburg County, VA","9,158","8,588","5,958","3,591"
"Madison County, VA","11,145","8,722","6,345","3,751"
"Mathews County, VA","13,671","12,016","8,998","5,023"
"Mecklenburg County, VA","10,508","8,824","6,222","3,398"
"Middlesex County, VA","14,834","9,865","6,628","4,073"
"Montgomery County, VA","10,979","9,481","8,195","5,109"
"Nansemond County, VA",(NA),(NA),(NA),"3,916"
"Nelson County, VA","11,419","9,176","5,624","3,795"
"New Kent County, VA","14,993","11,287","6,826","4,795"
"Norfolk County, VA",(NA),(NA),(NA),"5,984"
"Northampton County, VA","10,176","7,673","5,344","3,806"
"Northumberland County, VA","13,712","11,855","7,163","4,422"
"Nottoway County, VA","10,036","9,198","6,622","4,415"
"Orange County, VA","13,545","9,759","7,302","4,854"
"Page County, VA","11,304","9,034","6,883","4,466"
"Patrick County, VA","10,411","9,318","6,612","3,865"
"Pittsylvania County, VA","11,196","9,456","6,178","3,740"
"Powhatan County, VA","15,683","9,779","5,951","3,983"
"Prince Edward County, VA","9,031","8,038","6,719","4,116"
"Prince George County, VA","12,714","9,576","7,654","5,706"
"Prince William County, VA","17,833","13,762","9,313","6,086"
"Princess Anne County, VA",(NA),(NA),(NA),"6,612"
"Pulaski County, VA","11,074","9,756","8,148","4,980"
"Rappahannock County, VA","17,260","10,433","6,231","3,477"
"Richmond County, VA","11,036","9,684","5,923","3,897"
"Roanoke County, VA","16,627","13,553","9,933","6,585"
"Rockbridge County, VA","11,287","9,268","6,943","4,944"
"Rockingham County, VA","12,647","10,205","7,487","5,042"
"Russell County, VA","8,753","8,945","5,678","3,469"
"Scott County, VA","9,100","7,790","5,813","3,320"
"Shenandoah County, VA","12,686","9,801","7,217","5,011"
"Smyth County, VA","9,613","8,832","6,710","4,477"
"Southampton County, VA","10,948","8,549","5,747","3,983"
"Spotsylvania County, VA","15,192","11,240","7,456","4,642"
"Stafford County, VA","15,917","12,268","8,176","5,615"
"Surry County, VA","11,495","9,241","5,892","3,092"
"Sussex County, VA","9,856","8,673","6,121","2,876"
"Tazewell County, VA","9,995","9,695","6,490","4,191"
"Warren County, VA","13,580","10,600","8,390","5,929"
"Washington County, VA","11,057","9,623","6,320","3,853"
"Westmoreland County, VA","12,268","9,804","6,228","3,822"
"Wise County, VA","9,392","9,593","5,753","3,842"
"Wythe County, VA","10,404","9,349","6,688","3,920"
"York County, VA","15,742","12,165","9,429","6,184"
,,,,
INDEPENDENT CITIES:,,,,
"Alexandria city, VA","$25,509.00","$20,405.00","$14,575.00","$9,810.00"
"Bedford city, VA","11,070","10,255","9,083",(NA)
"Bristol city, VA","10,290","10,409","9,958","5,737"
"Buena Vista city, VA","10,241","8,906","7,270","5,258"
"Charlottesville city, VA","12,928","11,621","10,024","7,813"
"Chesapeake city, VA","13,817","11,137","8,117",(NA)
"Clifton Forge city, VA","11,562","10,225","8,236","6,537"
"Colonial Heights city, VA","15,639","13,374","10,609","8,244"
"Covington city, VA","10,814","10,089","8,047","6,934"
"Danville city, VA","11,344","10,905","8,800","6,439"
"Emporia city, VA","10,478","9,571","7,767",(NA)
"Fairfax city, VA","21,929","17,402","13,118",(NA)
"Falls Church city, VA","26,709","21,591","15,623","10,187"
"Franklin city, VA","11,212","10,041","9,174",(NA)
"Fredericksburg city, VA","13,825","11,879","9,882","6,506"
"Galax city, VA","10,490","11,100","8,560","6,537"
"Hampton city, VA","13,099","11,371","9,199","7,059"
"Harrisonburg city, VA","11,607","10,235","8,630","6,981"
"Hopewell city, VA","11,897","10,855","9,020","6,455"
"Lexington city, VA","10,077","9,340","8,123",(NA)
"Lynchburg city, VA","12,657","11,555","11,434","7,252"
"Manassas city, VA","18,554","14,327","11,110",(NA)
"Manassas Park city, VA","13,428","10,190","7,314",(NA)
"Martinsville city, VA","13,742","11,376","9,212","7,420"
"Newport News city, VA","12,711","11,488","9,432","6,981"
"Norfolk city, VA","11,643","10,243","8,787","6,722"
"Norton city, VA","9,214","10,473","7,748","5,246"
"Petersburg city, VA","10,547","10,654","8,387","5,725"
"Poquoson city, VA","16,930","13,188","8,488",(NA)
"Portsmouth city, VA","11,158","10,228","8,296","5,839"
"Radford city, VA","9,704","9,831","7,959","5,996"
"Richmond city, VA","13,993","11,852","9,898","7,581"
"Roanoke city, VA","12,513","11,421","10,858","6,989"
"Salem city, VA","14,467","12,718","9,284",(NA)
"South Boston city, VA","12,262","10,017","8,255","5,454"
"Staunton city, VA",(NA),(NA),(NA),"5,399"
"Suffolk city, VA","12,912","12,018","9,089","6,734"
"Virginia Beach city, VA","11,831","10,093","7,025","6,702"
"Waynesboro city, VA","15,242","12,909","9,719","8,617"
"Williamsburg city, VA","13,469","12,698","9,942","7,809"
"Winchester city, VA","11,822","10,743","9,649","6,808"
Winchester city,"14,214","12,330","9,476","7,110"
,,,,
Washington,"$14,923.00","$13,528.00","$10,565.00","$7,978.00"
"Adams County, WA","10,083","11,048","8,485","7,883"
"Asotin County, WA","11,379","11,493","8,491","6,730"
"Benton County, WA","14,027","14,627","10,084","8,146"
"Chelan County, WA","12,533","12,621","9,269","7,487"
"Clallam County, WA","12,798","12,844","9,697","6,953"
"Clark County, WA","13,993","12,593","10,043","7,428"
"Columbia County, WA","11,108","10,636","8,988","6,844"
"Cowlitz County, WA","12,638","12,749","9,662","7,232"
"Douglas County, WA","12,071","11,376","9,457","7,106"
"Ferry County, WA","9,860","9,355","7,434","6,114"
"Franklin County, WA","10,407","11,845","9,080","7,295"
"Garfield County, WA","12,209","11,810","8,239","9,637"
"Grant County, WA","10,376","10,282","8,211","6,863"
"Grays Harbor County, WA","11,787","12,477","9,366","7,585"
"Island County, WA","13,940","11,911","9,394","6,353"
"Jefferson County, WA","13,551","12,985","9,338","6,322"
"King County, WA","18,587","16,056","12,472","9,504"
"Kitsap County, WA","14,311","13,094","10,446","7,707"
"Kittitas County, WA","10,781","10,629","8,400","6,836"
"Klickitat County, WA","10,776","11,338","8,831","6,808"
"Lewis County, WA","11,205","11,185","8,762","6,600"
"Lincoln County, WA","11,977","12,923","10,090","8,433"
"Mason County, WA","12,050","11,919","9,693","7,161"
